what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297654711885
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297654711920
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297654712774
error,log,,,"FDT log: No message gotten.",1297654715464
activated,view,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.views.AntView",1297654839619
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297654839723
activated,view,com.powerflasher.fdt.ui,4.2.0.1272,"com.powerflasher.fdt.ui.views.FlashExplorer",1297654845092
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297654846562
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297654850288
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297654850347
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297654852061
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1297654852101
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297654854744
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297654854807
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297654856152
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1297654856221
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297654861939
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297654865309
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297654894451
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297656453519
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297656461953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297656462060
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1297656466687
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297656466826
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1297656466848
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297656468341
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297656580680
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297656583788
started,bundle,com.powerflasher.fdt.core.flexProjectImporter,4.2.0.1272,"com.powerflasher.fdt.core.flexProjectImporter",1297656589339
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1297656890236
started,bundle,org.eclipse.pde.core,3.6.1.v20100902_r361,"org.eclipse.pde.core",1297656890376
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908,"org.eclipse.wst.server.core",1297656890401
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20100505,"org.eclipse.jdt.launching.macosx",1297656890441
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297656893342
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1297656893382
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1297656893382
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297656893405
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297656899054
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297656900338
error,log,,,"FDT log: No message gotten.",1297656903485
error,log,,,"FDT log: No message gotten.",1297656903514
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297656910448
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297656917008
error,log,,,"FDT log: /Applications/Adobe Flash Builder 4/sdks/4.5.0.19786/frameworks/libs/datavisualization.swc (No such file or directory)",1297656930391
error,log,,,"FDT log: /Applications/Adobe Flash Builder 4/sdks/4.5.0.19786/frameworks/libs/utilities.swc (No such file or directory)",1297656930473
error,log,,,"FDT log: No message gotten.",1297656932861
error,log,,,"FDT log: No message gotten.",1297656932882
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297656944475
error,log,,,"FDT log: /Applications/Adobe Flash Builder 4/sdks/4.5.0.19786/frameworks/libs/datavisualization.swc (No such file or directory)",1297656946608
error,log,,,"FDT log: /Applications/Adobe Flash Builder 4/sdks/4.5.0.19786/frameworks/libs/utilities.swc (No such file or directory)",1297656946641
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1297656948384
error,log,,,"FDT log: No message gotten.",1297656948959
error,log,,,"FDT log: No message gotten.",1297656948988
activated,view,com.powerflasher.fdt.ui,4.2.0.1272,"com.powerflasher.fdt.ui.views.FlashExplorer",1297656950604
